2,count
HORTA,281
ÑANCUAN,280
PRETTON,280
CATRILEF,280
ITURRIAGA,280
LATORRE,278
MARABOLI,277
COLLINAO,277
BANDES,277
MONROY,276
OGAZ,276
CERECEDA,276
POZA,276
LECAROS,275
SEVILLA,274
MAUREIRA,273
QUEVEDO,272
BOZA,271
INÑINLAO,270
ZABALA,270
DUCHENS,269
PAZ,269
FONTT,269
TINEO,268
UMAÑA,266
PATIÑO,265
SANABRIA,265
NOCIREL,265
ANTIHUALA,264
MONTES,263
VALERIO,263
LLANCO,262
OCAMPO,261
NAVIA,259
CAMPUSANO,259
AGUDELO,259
BOZT,258
SEGURA,258
CARES,256
HUENUBIL,255
OTEIZA,255
PILQUIMAN,254
FREDES,253
MANRRIQUE,251
RAPIMIN,250
MAIRA,250
MACAYA,250
QUINTULEM,250
MEDEL,249
COTTET,249
HUILCAN,248
BARRALES,248
SERRA,247
CASTELLANOS,247
MAURA,246
HEVIA,246
HUECHUN,246
CONEJERA,245
MARTE,245
TRONOSO,245
PASTOR,243
OLMEDO,243
MALLAT,243
RINCON,243
BIZAMA,242
CLERICI,241
AGUILA,241
LEVICOY,239
SARAVIA,238
LINDARTE,237
PAJARITO,237
GRANADO,237
FUENMAYOR,237
OROPEZA,236
MOLL,236
CANGANA,236
ARROS,234
JULIO,234
LEAÑEZ,234
CATEJO,233
TOVAR,233
CERON,233
ESCALANTE,233
HEREVIA,233
FARIÑA,233
AZUA,232
TORREALBA,232
OSES,231
GACITUA,231
ALVEAR,231
ANGULO,231
OCHOA,230
ANTILEO,230
ALVIAL,230
VILLALON,230
PALACIO,229
INFANTE,229
HUENTECURA,229
MONTAÑO,228
MUNDACA,227
ASCENCIO,227
DOVERI,227
MORGADO,226
MORILLO,226
RAILEF,226
MONTECINO,225
ALMARZA,225
BARRETO,225
SANTAMARIA,225
RAIN,225
ARBOLEDA,224
PINOCHET,223
SORIANO,223
LANTAÑO,223
JEMENCIO,222
ARTEAGA,222
ÁVILA,222
TELLO,221
CARDONNE,221
VIELMA,221
BASAURE,221
CONNELL,220
TABORGA,220
JADAD,219
CANO,219
OCANTO,219
BETANCUR,219
IBACAHE,218
RENCORET,218
COÑUENAO,218
ORDOÑEZ,218
GREZ,217
PAIVA,217
QUEUPUMIL,217
CRESPO,215
ROCUANT,215
VALDENEGRO,214
AMESTICA,213
LEVIN,212
MOREL,212
RIFO,212
BARRUETA,212
VALDERAS,211
BASTIDAS,211
MAYORGA,210
CHAURA,209
MILLAO,209
ANCAVIL,208
CANTO,208
ALCAMAN,208
TRIPAÑAN,206
CARVALLO,206
QUERALES,205
LAFUENTE,204
ILABACA,204
CAVIEDES,203
JERIA,202
CATRINAO,202
HUENCUÑIR,202
FONT,202
LINEROS,202
TROMINEL,201
LEFIMIL,201
OVIEDO,201
COLORADO,200
ALISTE,200
ISLAS,200
NAHUEL,199
FRANCO,199
ASCORRA,199
LINCOFIL,198
SAENZ,197
SAGUES,197
OLIVEROS,197
PALOMINOS,197
HUENCHO,196
BOCIO,196
SINISTERRA,196
CRISOSTOMO,196
IRIARTE,195
UBEDA,194
MARILEO,194
CATRILEO,191
GUARDA,191
GIL,191
BONILLA,191
LORA,191
URREA,191
HUECHACONA,190
RUEDENLINGER,190
HUAIQUIN,190
NAIN,190
GONGORA,189
PALOMINO,189
GAMARRA,189
MILLA,188
MOLINARI,188
PRADA,188
ARCAYA,188
ZAGAL,188
ISIDOR,188
RAVEST,187
SANTIAGO,187
PRESSER,186
CAULLAN,186
CAÑIZAREZ,186
LLANTEN,186
KASS,186
LEZANA,185
SAYAGO,184
RECABARREN,184
ZAMBRA,184
MAFLA,184
FONSECA,183
QUISPE,183
EPUL,183
HUANQUIL,183
PUÑANCO,182
LANDERO,182
CURIÑANCA,182
LORR,182
CARRANZA,181
URTUBIA,181
HUILCALEO,181
CARIAGA,181
COCHAY,181
ÑANCO,181
BERMEDO,180
PAILACURA,180
LAZCANO,180
FUNES,179
NICOLICH,179
NELFUI,179
VILLENA,179
CADIZ,179
HUILIPAN,178
ESCAREZ,178
GARATE,178
BUELVAS,177
LUENGO,177
FILUN,177
PINOL,177
LUARTE,176
LEPILEO,176
LUAN,176
JAIME,176
JOPIA,176
CEPEDA,175
ANTILEF,174
LONCONAO,174
REINOSO,174
LONDOÑO,173
VILLACURA,173
MANQUECERA,173
BAUTISTA,173
REDON,173
DIP,173
CHIHUAICURA,172
VILLASMIL,172
SAINTILME,172
PILAR,172
VALVERDE,172
AVELLO,172
BALCAZAR,171
SARRIA,171
COCQ,169
DÍAZ,169
MESA,169
ANCAMIL,169
FURICOYAN,169
NANCO,169
CALFULEN,169
VILLAMANDOS,168
SOTOMAYOR,168
SOZA,168
REQUEJO,167
HUENULEF,167
MARICAN,167
LLANCAO,167
MUGGIOLI,167
LABARCA,167
LIENQUEO,167
