1,count
VALERA,179
BUERAS,179
FALCON,178
CRISOSTO,178
LLANCAFIL,178
OCARES,178
BERTEA,177
NICOLICH,177
VILLON,177
CONEJERA,177
BELOCHAGA,177
AMPUERO,177
TAIBA,176
BERNER,176
LAFONT,176
CARICEO,176
CURRIHUAL,176
MONSALVEZ,175
NECULMAN,175
INOJOSA,175
LUIS,174
ESCARES,174
MASSABO,174
PUMA,174
CONA,174
MANQUE,173
BENTAZO,173
MELITA,173
AMIGO,172
VALDENEGRO,172
BEJARES,172
TRAZIL,172
MORAT,171
HOTT,171
CAICEDO,171
DONAIRE,170
OTINIAO,169
AMAYA,169
VALDEZ,169
SANFURGO,169
RIDERILLI,168
VILLARROYA,168
JHONSON,168
ESPINDOLA,168
CLAVERO,167
VILLAMIZAR,167
ARANGUA,167
MIQUE,167
VALDIVIESO,167
BAUTISTA,166
RAIMIL,166
MILANO,166
JAUREGUI,166
MARILEO,166
MARCHIONI,165
DAVID,165
SALDAÑO,165
LINARES,165
BRITOS,165
PASTENE,164
GAMEZ,164
YEUTO,164
LEVIO,163
BETANCURT,163
CHARA,163
CAVALLO,163
COÑUENAO,162
HUENCHULLANCA,162
HEREDIA,162
TERAN,161
CUATTROCCHI,161
ANCAVIL,160
HUAIQUILAF,160
OSSANDON,160
CERNA,160
BONILLA,160
CONTANZO,160
ARGOMEDO,159
NAHUELÑIR,159
ARRIECHE,159
EPULLANCA,159
ILLANES,158
MARKUSOVIC,158
DENDARIEN,158
VILCA,157
AMOYAO,157
MANQUEL,157
HUALA,156
ARTIGAS,156
ESTER,156
PAILLAVIL,156
ARAUJO,155
NUR,155
POZA,155
SANTIS,155
PARENTTI,155
MARIE,155
ALTUVE,155
QUISPE,154
CAULLAN,154
ARGANDOÑA,154
DEVIA,154
MOLLER,153
CURINAO,153
AROCA,152
FRANCOIS,152
HUENCHUQUEO,151
LOUIS,151
PAINEMIL,151
CONTARDO,151
SORIA,151
BULEJE,151
LONCON,151
PETIT,151
WASTAVINO,150
VILLASECA,150
ALCARRUZ,150
CUESTA,150
OPORTUS,150
QUIERO,149
BUCAREY,149
BARRIO,149
SALDIVAR,149
CONEJEROS,148
VIERA,148
TORTIS,148
CURICHEO,148
LEVIQUEO,148
PUCHER,148
GILLIBRAND,147
HUENTECOL,147
AELLOS,147
CARRANZA,147
LUQUE,146
PRADEL,146
ÑANCULEF,146
MAGO,146
FUENTE,146
PAREJA,146
GRUMI,145
FELIPE,145
HERMAN,145
HIGUERAS,145
ASTROZA,145
COLILEF,145
HUENCHUNAO,145
PINOCHET,144
TENORIO,144
HUAIQUIAO,144
EMIHUEQUE,144
CORIA,144
CAROCA,144
RENGIFO,143
TREJOS,143
MARICURA,143
ALCAPAN,143
CHUMAN,143
MILLAÑIR,143
BOZO,142
VINE,142
CELEDON,142
FIKAR,141
DIROCHE,141
CHEUQUE,141
ROCA,141
TRAIPE,141
VALLE,141
MANZOR,140
GIRON,140
OGAZ,140
VILLARREAL,140
UGARTE,140
ANTIQUEO,139
MILLA,139
MANQUELIPE,139
SAENZ,139
CAÑETE,137
PAILLALEO,137
LORTHE,137
CAYULEO,137
PINUEL,137
ANAIS,136
MARIANJEL,136
JASIMINO,135
ARANIS,135
HUENUQUEO,135
GARIN,135
CASTELLANO,135
FICA,135
ANEZ,135
PUEN,134
BAZA,134
LUGO,134
OVANDO,134
WILLIAMS,134
JAURE,133
CURIHUINCA,133
CHANGANA,132
MILLAO,132
MANDUJANO,132
SOLIZ,132
CIGNA,132
CURIN,131
HORSTMESER,131
HUENCHUCOY,131
VILLENA,131
AHLERS,130
PUERTAS,130
COÑAPAN,130
VIVAS,130
STUARDO,129
SABATE,129
ALONSO,129
NANJARI,128
